Group,Group Rank,Team,Average Points,Average Goal Difference,1st,2nd,3rd,4th,Round of 32
A,1,Mexico,9.0,6.0,1.0,0.0,0.0,0.0,1.0
A,2,South Africa,4.0,-1.0,0.0,1.0,0.0,0.0,1.0
A,3,South Korea,3.0,-1.0,0.0,0.0,1.0,0.0,0.3372
A,4,Czechia,1.0,-4.0,0.0,0.0,0.0,1.0,0.0
B,1,Switzerland,7.0,4.0,1.0,0.0,0.0,0.0,1.0
B,2,Canada,4.0,5.0,0.0,1.0,0.0,0.0,1.0
B,3,Bosnia & Herzegovina,4.0,-1.0,0.0,0.0,1.0,0.0,1.0
B,4,Qatar,1.0,-8.0,0.0,0.0,0.0,1.0,0.0
C,1,Brazil,7.0,6.0,1.0,0.0,0.0,0.0,1.0
C,2,Morocco,7.0,3.0,0.0,1.0,0.0,0.0,1.0
C,3,Scotland,3.0,-3.0,0.0,0.0,1.0,0.0,0.0005
C,4,Haiti,0.0,-6.0,0.0,0.0,0.0,1.0,0.0
D,1,United States,6.0,4.0,1.0,0.0,0.0,0.0,1.0
D,2,Australia,4.0,0.0,0.0,1.0,0.0,0.0,1.0
D,3,Paraguay,4.0,-2.0,0.0,0.0,1.0,0.0,1.0
D,4,Türkiye,3.0,-2.0,0.0,0.0,0.0,1.0,0.0
E,1,Germany,6.0,6.0,1.0,0.0,0.0,0.0,1.0
E,2,Côte d'Ivoire,6.0,2.0,0.0,1.0,0.0,0.0,1.0
E,3,Ecuador,4.0,0.0,0.0,0.0,1.0,0.0,1.0
E,4,Curaçao,1.0,-8.0,0.0,0.0,0.0,1.0,0.0
F,1,Netherlands,7.0,6.0,1.0,0.0,0.0,0.0,1.0
F,2,Japan,5.0,4.0,0.0,1.0,0.0,0.0,1.0
F,3,Sweden,4.0,0.0,0.0,0.0,1.0,0.0,1.0
F,4,Tunisia,0.0,-10.0,0.0,0.0,0.0,1.0,0.0
G,1,Belgium,5.0,4.0,1.0,0.0,0.0,0.0,1.0
G,2,Egypt,5.0,2.0,0.0,1.0,0.0,0.0,1.0
G,3,Iran,3.0,0.0,0.0,0.0,1.0,0.0,0.8832
G,4,New Zealand,1.0,-6.0,0.0,0.0,0.0,1.0,0.0
H,1,Spain,7.0,5.0,1.0,0.0,0.0,0.0,1.0
H,2,Cabo Verde,3.0,0.0,0.0,1.0,0.0,0.0,1.0
H,3,Uruguay,2.0,-1.0,0.0,0.0,1.0,0.0,0.0
H,4,Saudi Arabia,2.0,-4.0,0.0,0.0,0.0,1.0,0.0
I,1,France,9.0,8.0,1.0,0.0,0.0,0.0,1.0
I,2,Norway,6.0,1.0,0.0,1.0,0.0,0.0,1.0
I,3,Senegal,3.0,2.0,0.0,0.0,1.0,0.0,1.0
I,4,Iraq,0.0,-11.0,0.0,0.0,0.0,1.0,0.0
J,1,Argentina,8.7885,7.1956,1.0,0.0,0.0,0.0,1.0
J,2,Austria,4.5867,0.2856,0.0,0.7243,0.2757,0.0,0.8427
J,3,Algeria,4.1202,-2.2856,0.0,0.2757,0.7243,0.0,0.5693
J,4,Jordan,0.1353,-5.1956,0.0,0.0,0.0,1.0,0.0
K,1,Colombia,7.021,2.611,0.5374,0.4626,0.0,0.0,1.0
K,2,Portugal,5.6834,5.389,0.4626,0.5373,0.0001,0.0,1.0
K,3,DR Congo,2.6309,-0.6652,0.0,0.0001,0.7428,0.2571,0.444
K,4,Uzbekistan,1.0702,-7.3348,0.0,0.0,0.2571,0.7429,0.0
L,1,England,6.6382,3.7678,0.8628,0.137,0.0002,0.0,1.0
L,2,Croatia,5.2753,0.1441,0.1128,0.5772,0.31,0.0,0.9231
L,3,Ghana,4.5194,-0.1441,0.0244,0.2858,0.6898,0.0,1.0
L,4,Panama,0.2412,-3.7678,0.0,0.0,0.0,1.0,0.0
